     index   k   n   earned
436  배당수익률  16  30   30.77%
437  배당수익률  17  30   37.84%
438  배당수익률  18  30    33.8%
439  배당수익률  19  30   67.57%
440  배당수익률  20  30   39.77%
441  배당수익률  21  30  105.93%
442  배당수익률  22  30   51.89%
443  배당수익률  23  30    59.8%
444  배당수익률  24  30   91.85%
445  배당수익률  25  30  119.15%
446  배당수익률  26  30   95.35%
447  배당수익률  27  30    64.5%
448  배당수익률  28  30   75.73%
449  배당수익률  29  30  100.35%
